A,B
89,114
85,110
83,108
81,106
82,107
85,110
90,115
81,106
84,109
84,109
81,106
90,115
83,108
82,107
83,108
85,110
85,110
90,115
86,111
80,105
89,114
80,105
82,107
84,109
81,106
89,114
83,108
88,113
82,107
88,113
86,111
87,112
87,112
82,107
87,112
88,113
80,105
88,113
88,113
85,110
83,108
83,108
80,105
80,105
80,105
86,111
84,109
82,107
83,108
84,109
89,114
87,112
87,112
86,111
81,106
84,109
82,107
88,113
80,105
80,105
82,107
87,112
83,108
83,108
88,113
80,105
81,106
87,112
87,112
83,108
80,105
84,109
82,107
81,106
86,111
86,111
85,110
88,113
90,115
86,111
81,106
81,106
83,108
83,108
80,105
82,107
90,115
82,107
82,107
80,105
82,107
80,105
86,111
87,112
81,106
81,106
82,107
90,115
80,105
86,111
